Nome,Tipo,Modalità,Sottomodalità,Relazione,Domanda (In che misura pensi a questa cosa come…),Esempio Alto,Spiegazione Alta,Esempio Medio,Spiegazione Media
Visione,Sensoriale,Visione,Generale,essere,In che misura pensi a questa cosa come qualcosa che puoi facilmente vedere,luna,la luna è un oggetto fisico che puoi facilmente vedere.,malattia,la malattia è qualcosa che potresti o meno essere in grado di vedere.
Luminoso,Sensoriale,Visione,Intensità,essere,In che misura pensi a questa cosa come visivamente chiaro o luminoso,neve,la neve è molto luminosa.,banana,le banane hanno un colore abbastanza chiaro.
Scuro,Sensoriale,Visione,Intensità,essere,In che misura pensi a questa cosa come visivamente scuro,carbone,il carbone è molto scuro.,mud,il fango ha un colore abbastanza scuro.
Colore,Sensoriale,Visione,Superficie,avere,In che misura pensi a questa cosa come un colore caratteristico o definente,erba,l'erba ha un colore molto caratteristico.,pony,il colore dei pony è abbastanza variabile.
Motivo,Sensoriale,Visione,Superficie,avere,In che misura pensi a questa cosa come una texture visiva caratteristica o un motivo superficiale definente,tigre,le tigri hanno un motivo superficiale a strisce molto caratteristico.,stagno,la superficie di uno stagno ha una leggera texture visiva.
Grande,Sensoriale,Visione,Dimensione,essere,In che misura pensi a questa cosa come grande di dimensioni,vulcano,i vulcani sono molto grandi.,cammello,i cammelli sono abbastanza grandi.
Piccolo,Sensoriale,Visione,Dimensione,essere,In che misura pensi a questa cosa come piccolo di dimensioni,granello,i granelli sono molto piccoli.,coniglio,i conigli sono abbastanza piccoli.
Movimento,Sensoriale,Visione,Movimento,mostrare,In che misura pensi a questa cosa come con molto movimento visivamente osservabile,tornado,i tornado mostrano molto movimento osservabile.,orologio,"le parti dell'orologio si muovono, ma non molto notevolmente."
Biomovimento,Sensoriale,Visione,Movimento,mostrare,In che misura pensi a questa cosa come con movimenti tipici di un essere vivente,scimmia,le scimmie mostrano movimenti molto tipici di un essere vivente.,chiocciola,"le chiocciole sono vive e si muovono, ma non come gli animali tipici."
Veloce,Sensoriale,Visione,Movimento,mostrare,In che misura pensi a questa cosa come con movimenti visibili veloci,motocicletta,le motociclette si muovono tipicamente molto velocemente.,gatto,i gatti a volte si muovono velocemente.
Lento,Sensoriale,Visione,Movimento,mostrare,In che misura pensi a questa cosa come con movimenti visibili lenti,chiocciola,le chiocciole si muovono tipicamente molto lentamente.,mucca,le mucche di solito si muovono abbastanza lentamente.
Forma,Sensoriale,Visione,Forma,avere,In che misura pensi a questa cosa come con una forma o figura visiva caratteristica o definente,giraffa,le giraffe hanno una forma visiva molto caratteristica.,cioccolato,il cioccolato può avere una varietà di forme.
Complessità,Sensoriale,Visione,Forma,essere,In che misura pensi a questa cosa come visivamente complesso,motocicletta,le motociclette hanno molte parti visivamente osservabili.,skateboard,gli skateboard hanno relativamente poche parti osservabili.
Viso,Sensoriale,Visione,Forma,avere,In che misura pensi a questa cosa come con un viso umano o simile a quello umano,infermiera,le infermiere hanno volti umani.,gatto,i visi di gatto e umano condividono alcune caratteristiche simili.
Corpo,Sensoriale,Visione,Forma,avere,In che misura pensi a questa cosa come con parti del corpo umane o simili a quelle umane,infermiera,le infermiere hanno parti del corpo umane.,gatto,i gatti hanno alcune parti del corpo simili agli esseri umani.
Tatto,Sensoriale,Somatico,Generale,essere,In che misura pensi a questa cosa come qualcosa che potresti facilmente riconoscere al tatto,spazzolino,uno spazzolino è qualcosa che puoi toccare e riconoscere al tatto.,cipolla,una cipolla potrebbe essere un po' difficile da riconoscere solo al tatto.
Caldo,Sensoriale,Somatico,Superficie,essere,In che misura pensi a questa cosa come caldo al tatto,fuoco,il fuoco ha una temperatura molto alta.,hamburger,gli hamburger di solito sono caldi al tatto.
Freddo,Sensoriale,Somatico,Superficie,essere,In che misura pensi a questa cosa come freddo al tatto,ghiaccio,il ghiaccio ha una temperatura molto bassa.,coltello,i coltelli di solito sono freschi al tatto.
Liscio,Sensoriale,Somatico,Superficie,avere,In che misura pensi a questa cosa come con una texture liscia al tatto,seta,la seta è molto liscia al tatto.,cartone,il cartone è abbastanza liscio.
Ruvido,Sensoriale,Somatico,Superficie,avere,In che misura pensi a questa cosa come con una texture ruvida al tatto,stoppia,la stoppia è molto ruvida al tatto.,brick,la superficie di un mattone è abbastanza ruvida.
Leggero,Sensoriale,Somatico,Propriocezione,essere,In che misura pensi a questa cosa come leggero di peso,palloncino,i palloncini giocattolo sono molto leggeri.,mela,le mele sono abbastanza leggere.
Pesante,Sensoriale,Somatico,Propriocezione,essere,In che misura pensi a questa cosa come pesante di peso,incudine,le incudini sono molto pesanti.,libreria,"le librerie sono abbastanza pesanti, ma di solito possono essere sollevate con sforzo."
Dolore,Sensoriale,Somatico,Nocicezione,essere associato a,In che misura pensi a questa cosa come associato al dolore o al disagio fisico,mal di testa,il mal di testa è associato a molto dolore e disagio fisico.,spillo,uno spillo potrebbe accidentalmente causare dolore.
Udito,Sensoriale,Udito,Generale,essere,In che misura pensi a questa cosa come qualcosa che puoi facilmente sentire,sirena,le sirene sono facili da sentire.,ruscello,i ruscelli producono suoni ma sono abbastanza difficili da sentire.
Forte,Sensoriale,Udito,Intensità,produce,In che misura pensi a questa cosa come che produce un suono forte,esplosione,le esplosioni producono suoni molto forti.,litigio,le discussioni a volte possono essere rumorose.
Basso,Sensoriale,Udito,Frequenza,avere,In che misura pensi a questa cosa come con un suono di bassa frequenza,tuba,le tube producono suoni molto bassi.,mucca,le mucche producono suoni abbastanza bassi.
Alto,Sensoriale,Udito,Frequenza,avere,In che misura pensi a questa cosa come con un suono di alta frequenza,fischietto,i fischietti producono suoni molto alti.,rooster,i galli producono suoni abbastanza acuti.
Suono,Sensoriale,Udito,Forma,avere,In che misura pensi a questa cosa come con un suono caratteristico o riconoscibile,gallo,i galli producono suoni molto riconoscibili.,camion,i camion producono suoni abbastanza riconoscibili.
