Nome,Tipo,Modalità,Sottomodalità,Relazione,Domanda (In che misura pensi a questa proprietà come…),Esempio Alto,Spiegazione Alta,Esempio Medio,Spiegazione Media
Visione,Sensoriale,Visione,Generale,descrivere,In che misura pensi a questa proprietà come descrivere come appare qualcosa,sfocato,dire che qualcosa è sfocato descrive qualcosa su come appare.,fresco,fresco a volte si riferisce a come appare qualcosa.
Luminoso,Sensoriale,Visione,Intensità,descrivere,In che misura pensi a questa proprietà come descrivere una qualità visiva chiara o luminosa,scintillante,dire che qualcosa scintilla significa che ha un aspetto luminoso.,luminoso,dire che qualcosa brilla significa che emette una luce soffusa.
Scuro,Sensoriale,Visione,Intensità,descrivere,In che misura pensi a questa proprietà come descrivere una qualità visiva scura,inchiostrato,dire che qualcosa è inchiostrato significa che ha un aspetto scuro.,fioco,dire che qualcosa è fioco può significare che non è ben illuminato.
Colore,Sensoriale,Visione,Superficie,descrivere,In che misura pensi a questa proprietà come descrivere una qualità o tipo di colore,viola,dire che qualcosa è viola significa che ha un colore particolare.,macchiato,dire che qualcosa è macchiato può riferirsi a un tipo di colorazione.
Motivo,Sensoriale,Visione,Superficie,descrivere,In che misura pensi a questa proprietà come descrivere una qualità o tipo di texture visiva o motivo superficiale,maculato,dire che qualcosa è maculato significa che ha un particolare motivo superficiale visivo.,metallico,dire che qualcosa è metallico può riferirsi al suo aspetto superficiale.
Grande,Sensoriale,Visione,Dimensione,descrivere,In che misura pensi a questa proprietà come descrivere la grandezza di dimensioni,enorme,dire che qualcosa è enorme significa che ha dimensioni molto grandi.,ampio,dire che qualcosa è ampio significa che ce n'è in abbondanza.
Piccolo,Sensoriale,Visione,Dimensione,descrivere,In che misura pensi a questa proprietà come descrivere la piccolezza di dimensioni,minuscolo,dire che qualcosa è minuscolo significa che ha dimensioni molto piccole.,piccolo,dire che qualcosa è piccolo significa che è relativamente piccolo di dimensioni.
Movimento,Sensoriale,Visione,Movimento,descrivere,In che misura pensi a questa proprietà come descrivere una qualità o tipo di movimento visivamente osservabile,rimbalzante,dire che qualcosa è rimbalzante significa che si muove in un modo particolare.,tremante,tremante può riferirsi a un tipo di movimento osservabile.
Biomovimento,Sensoriale,Visione,Movimento,descrivere,In che misura pensi a questa proprietà come descrivere una qualità o tipo di movimento visibile che suggerisce un essere vivente,guizzante,dire che qualcosa è guizzante significa che si muove in un modo particolare che suggerisce che sia vivo.,aggraziato,aggraziato può riferirsi ai movimenti di un essere vivente.
Veloce,Sensoriale,Visione,Movimento,descrivere,In che misura pensi a questa proprietà come descrivere una qualità veloce del movimento visibile,veloce,dire che qualcosa è veloce significa che si muove rapidamente.,agile,agile significa che qualcuno si muove facilmente e agilmente.
