Nome,Tipo,Modalità,Sottomodalità,Relazione,Domanda (In che misura pensi a questo come…),Esempio Alto,Spiegazione Alta,Esempio Medio,Spiegazione Media
Visione,Sensoriale,Visione,Generale,essere,In che misura pensi a questo come un'azione o attività in cui vedi qualcosa,osservato,osservare significa guardare qualcosa.,percepito,percepire qualcosa può in alcuni casi implicare il vederlo.
Luminoso,Sensoriale,Visione,Intensità,essere associato a,In che misura pensi a questo come associato a luce o luminosità,brillato,quando qualcosa brilla è molto luminoso.,brillato,quando qualcosa brilla emette una luce soffusa.
Scuro,Sensoriale,Visione,Intensità,essere associato a,In che misura pensi a questo come associato a oscurità o nerezza,estinto,spegnere una luce rende tutto scuro.,attenuato,attenuare una luce rende le cose abbastanza più scure.
Colore,Sensoriale,Visione,Superficie,essere associato a,In che misura pensi a questo come associato a colori o cambiamento di colore,arrossito,arrossire significa diventare rosso.,decorato,decorare può implicare l'aggiunta o il cambiamento di un colore.
Motivo,Sensoriale,Visione,Superficie,essere associato a,In che misura pensi a questo come associato a un motivo superficiale visivo o un cambiamento in una superficie visiva,inciso,incidere comporta il segno di una superficie.,ammorbidito,quando qualcosa si ammorbidisce può cambiare il suo aspetto superficiale.
Grande,Sensoriale,Visione,Dimensione,essere,In che misura pensi a questo come un'azione o attività che coinvolge qualcosa di grande,demolito,demolire è tipicamente qualcosa che si fa agli edifici.,guidato,guidare è tipicamente fatto con un oggetto abbastanza grande come un'auto.
Piccolo,Sensoriale,Visione,Dimensione,essere,In che misura pensi a questo come un'azione o attività che coinvolge qualcosa di piccolo,tritato,tritare comporta il taglio in piccoli pezzi.,fatto l'occhiolino,"fare l'occhiolino è fatto con l'occhio, che è un oggetto abbastanza piccolo."
Movimento,Sensoriale,Visione,Movimento,essere associato a,In che misura pensi a questo come associato a un tipo specifico o a una grande quantità di movimento visibile,rimbalzato,quando qualcosa rimbalza è in costante movimento.,navigato,navigare implica un certo tipo di movimento.
Biomovimento,Sensoriale,Visione,Movimento,essere,In che misura pensi a questo come un'azione o attività in cui un essere vivente compie movimenti visibili,starnutito,starnutire è un'azione visibile compiuta da un essere vivente.,spinto,spingere è un'azione visibile che può o meno essere compiuta da un essere vivente.
Veloce,Sensoriale,Visione,Movimento,essere associato a,In che misura pensi a questo come associato a movimenti visibili veloci,colpito con un pugno,dare un pugno produce un movimento visibile veloce.,ballato,ballare può o meno essere veloce.
Lento,Sensoriale,Visione,Movimento,essere associato a,In che misura pensi a questo come associato a movimenti visibili lenti,dondolato,dondolare produce un movimento visibile lento.,passeggiato,camminare lentamente implica un movimento visibile abbastanza lento.
Forma,Sensoriale,Visione,Forma,essere associato a,In che misura pensi a questo come associato a un cambiamento nella forma o dimensione visiva di qualcosa,piegato,piegare qualcosa cambia la sua forma visiva.,tirato,tirare può o meno risultare in un cambiamento di forma visiva.
Complessità,Sensoriale,Visione,Forma,N/A,N/A,N/A,N/A,N/A,N/A
Viso,Sensoriale,Visione,Forma,essere associato a,In che misura pensi a questo come associato a movimenti visibili del viso,fatto l'occhiolino,fare l'occhiolino produce un movimento visibile del viso.,inghiottito,inghiottire produce un piccolo movimento visibile del viso.
Corpo,Sensoriale,Visione,Forma,essere associato a,In che misura pensi a questo come associato a movimenti visibili del corpo o degli arti,ballato,ballare produce movimenti visibili del corpo.,fremuto,fremere produce piccoli movimenti visibili del corpo.
Tatto,Sensoriale,Somatico,Generale,essere,In che misura pensi a questo come un'azione o attività in cui senti qualcosa al tatto,accarezzato,accarezzare significa toccare qualcosa delicatamente.,percepito,percepire qualcosa può in alcuni casi implicare il toccarlo.
Caldo,Sensoriale,Somatico,Superficie,essere associato a,In che misura pensi a questo come associato al tocco o alla sensazione di qualcosa di caldo,bruciato,scottarsi comporta il tocco di qualcosa di molto caldo.,fatto la doccia,fare la doccia implica tipicamente sentire acqua calda.
Freddo,Sensoriale,Somatico,Superficie,essere associato a,In che misura pensi a questo come associato al tocco o alla sensazione di qualcosa di freddo,congelato,congelare deriva dal contatto con il freddo estremo.,nuotato,nuotare implica tipicamente sentire acqua fresca.
Liscio,Sensoriale,Somatico,Superficie,essere associato a,In che misura pensi a questo come associato al tocco o alla sensazione di qualcosa di liscio,accarezzato,accarezzare è quando tocchi delicatamente qualcosa di liscio.,pulito,pulire di solito si fa su una superficie liscia.
Ruvido,Sensoriale,Somatico,Superficie,essere associato a,In che misura pensi a questo come associato al tocco o alla sensazione di qualcosa di ruvido,raschiato,raschiare è quando strofini contro qualcosa di duro e ruvido.,strofinato,strofinare può implicare il contatto con una superficie ruvida.
Leggero,Sensoriale,Somatico,Propriocezione,essere associato a,In che misura pensi a questo come associato a qualcosa di leggero di peso,galleggiato,le cose leggere di peso tipicamente galleggiano.,lanciato,lanciare tipicamente implica cose relativamente leggere.
Pesante,Sensoriale,Somatico,Propriocezione,essere associato a,In che misura pensi a questo come associato a qualcosa di pesante di peso,trascinato,si trascinano le cose che sono pesanti.,sollevato,sollevare tipicamente implica cose relativamente pesanti.
Dolore,Sensoriale,Somatico,Nocicezione,essere associato a,In che misura pensi a questo come associato a dolore fisico o disagio,distorto,distorcere un'articolazione causa generalmente forte dolore.,urtato,urtare qualcosa può causare lieve dolore.
Udito,Sensoriale,Udito,Generale,essere associato a,In che misura pensi a questo come associato all'ascolto di qualcosa,emesso un segnale,quando qualcosa emette un segnale fa un suono.,percepito,percepire qualcosa può in alcuni casi implicare il sentirlo.
Forte,Sensoriale,Udito,Intensità,essere associato a,In che misura pensi a questo come associato a un suono forte,esploso,quando qualcosa esplode fa un suono molto forte.,tintinnato,i rumori di tintinnio sono tipicamente abbastanza forti.
Basso,Sensoriale,Udito,Frequenza,essere associato a,In che misura pensi a questo come associato a un suono di bassa frequenza,rimbombato,quando qualcosa rimbomba fa un suono a bassa frequenza.,ronzato,i ronzii sono di solito a bassa frequenza.
Alto,Sensoriale,Udito,Frequenza,essere associato a,In che misura pensi a questo come associato a un suono di alta frequenza,strillato,quando qualcosa strilla fa un suono ad alta frequenza.,suonato,i suoni di carillon sono di solito abbastanza acuti.
Suono,Sensoriale,Udito,Forma,essere associato a,In che misura pensi a questo come associato a un suono caratteristico o riconoscibile,abbaiato,l'abbaiare dei cani è un suono molto riconoscibile.,sferragliato,i rumori di sferraglio possono essere prodotti da una varietà di oggetti diversi.
Musica,Sensoriale,Udito,Forma,essere associato a,In che misura pensi a questo come associato a un suono musicale,cantato,cantare crea suoni musicali.,suonato,i suoni di carillon sono abbastanza musicali.
